request_id,request_date,department,requester_role,item_category,item_description,vendor_name,amount_cad,budget_code,budget_code_valid,approval_level,current_status,manager_approval_date,finance_review_date,po_created_date,received_date,cycle_time_days,exception_reason,priority,delivery_status,payment_status
PR-2026-0101,2026-04-11,Logistics,Logistics Coordinator,Vendor Service,Dockside equipment inspection service,Cabotline Maintenance,20393.56,LOG-FUEL-410,TRUE,Capital/Special Review,Pending Procurement Review,2026-04-13,2026-04-14,,,3,Duplicate Request,Low,Not Ordered,On Hold
PR-2026-0102,2026-04-12,Maintenance,Maintenance Lead,Parts,Fuel line fitting kit,Bayspan Hydraulics,334.00,MAINT-REP-210,TRUE,Department Manager,PO Created,2026-04-15,,2026-04-19,,7,No Exception,High,Ordered,Not Invoiced
PR-2026-0103,2026-04-13,Vessel Operations,Vessel Operations Coordinator,Repair Service,Preventive maintenance for dockside compressor,Dockspan Equipment Services,444.78,VO-OPS-100,TRUE,Department Manager,Received,2026-04-14,,2026-04-17,2026-04-26,13,No Exception,Low,Received,Payment Pending
PR-2026-0104,2026-04-14,Maintenance,Maintenance Lead,Fuel/Operations Supply,Winter deicing supply order,FogBank Industrial Supply,422.24,MAINT-ERR-999,FALSE,Department Manager,Pending Finance Review,2026-04-17,,,,3,Missing Budget Code,High,Not Ordered,On Hold
PR-2026-0105,2026-04-15,Logistics,Procurement Assistant,Repair Service,Dock door repair service,NorthPier Dockworks,5267.75,LOG-FRT-420,TRUE,Department Manager + Finance,Rejected,,,,,4,Duplicate Request,Medium,Cancelled,On Hold
PR-2026-0106,2026-04-16,Safety,Safety Coordinator,Safety Equipment,Fall arrest lanyard set,Tidewatch Safety Systems,2649.75,SAFE-EQ-320,TRUE,Department Manager + Finance,Pending Procurement Review,2026-04-19,2026-04-23,,,7,Missing Quote,Medium,Not Ordered,On Hold
PR-2026-0107,2026-04-17,Vessel Operations,Procurement Assistant,Repair Service,Bilge alarm troubleshooting service,NorthPier Dockworks,22859.49,VO-SAFE-130,TRUE,Department Manager + Finance + Executive Sponsor,Received,2026-04-21,2026-04-24,2026-04-28,2026-05-03,16,No Exception,Low,Received,Invoice Received
PR-2026-0108,2026-04-18,Vessel Operations,Operations Supervisor,Safety Equipment,Emergency spill response supplies,Northline Shield Gear,931.73,VO-OPS-100,TRUE,Emergency Safety Exception,PO Created,2026-04-20,2026-04-23,2026-04-24,,6,Urgent Safety Purchase,Emergency,Ordered,Invoice Received
PR-2026-0109,2026-04-19,Safety,Procurement Assistant,Vendor Service,Vendor setup review support,NorthPier Dockworks,2108.96,SAFE-EQ-320,TRUE,Department Manager + Finance,Pending Procurement Review,2026-04-20,2026-04-21,,,2,No Exception,Medium,Not Ordered,Not Invoiced
PR-2026-0110,2026-04-20,Vessel Operations,Vessel Operations Coordinator,Parts,Marine battery isolation parts,RedMoor Operations Supply,384.15,VO-MAINT-120,TRUE,Department Manager,Closed,2026-04-23,,2026-04-26,2026-05-11,21,No Exception,Low,Received,Matched
PR-2026-0111,2026-04-21,Maintenance,Procurement Assistant,Parts,Deck crane seal pack,BlueKeel Marine Parts,4919.31,,FALSE,Department Manager + Finance,On Hold,,,,,10,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0112,2026-04-22,Maintenance,Maintenance Lead,Parts,Deck crane seal pack,FogBank Industrial Supply,647.21,MAINT-SVC-230,TRUE,Department Manager,PO Created,2026-04-26,,2026-04-29,,7,No Exception,Low,Ordered,Not Invoiced
PR-2026-0113,2026-04-23,Maintenance,Procurement Assistant,Parts,Dock ramp hinge hardware,BlueKeel Marine Parts,805.92,MAINT-REP-210,TRUE,Department Manager,Pending Manager Approval,,,,,7,No Exception,Low,Not Ordered,Not Invoiced
PR-2026-0114,2026-04-24,Logistics,Operations Supervisor,Fuel/Operations Supply,Deck washdown supply kit,FogBank Industrial Supply,854.16,LOG-DCK-430,TRUE,Department Manager,Approved,2026-04-27,,,,3,No Exception,Medium,Not Ordered,Not Invoiced
PR-2026-0115,2026-04-25,Administration,Administrative Coordinator,Office/Admin,Document scanner replacement,Lighthouse Procurement Services,931.82,,FALSE,Department Manager,Pending Finance Review,2026-04-27,,,,2,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0116,2026-04-26,Maintenance,Maintenance Lead,Repair Service,Deck winch diagnostic service,NorthPier Dockworks,39532.21,MAINT-REP-210,TRUE,Capital/Special Review,PO Created,2026-04-27,2026-04-28,2026-05-01,,5,No Exception,Low,Ordered,Invoice Received
PR-2026-0117,2026-04-27,Logistics,Operations Supervisor,Repair Service,Ramp surface repair service,Dockspan Equipment Services,14149.21,LOG-DCK-430,TRUE,Department Manager + Finance + Executive Sponsor,PO Created,2026-04-30,2026-05-01,2026-05-02,,5,Delayed Vendor Response,Medium,Delayed,Not Invoiced
PR-2026-0118,2026-04-28,Logistics,Procurement Assistant,Repair Service,Dock door repair service,NorthPier Dockworks,5424.46,LOG-FRT-420,TRUE,Department Manager + Finance,On Hold,2026-05-02,,,,4,Duplicate Request,Medium,Not Ordered,On Hold
PR-2026-0119,2026-04-29,Administration,Administrative Coordinator,Vendor Service,Temporary labour support for receiving,Lighthouse Procurement Services,273.84,ADMIN-OFF-500,TRUE,Department Manager,Pending Procurement Review,2026-04-30,,,,1,Invalid Vendor,Medium,Not Ordered,On Hold
PR-2026-0120,2026-04-30,Administration,Administrative Coordinator,Office/Admin,Visitor badge printer supplies,AdminCove Business Services,735.47,ADMIN-OFF-500,TRUE,Department Manager,Received,2026-05-03,,2026-05-06,2026-05-09,9,No Exception,Low,Received,Matched
PR-2026-0121,2026-05-01,Logistics,Procurement Assistant,Parts,Fuel line fitting kit,Bayspan Hydraulics,9070.36,LOG-DCK-430,TRUE,Department Manager + Finance,Pending Finance Review,2026-05-04,,,,3,No Exception,Medium,Not Ordered,Not Invoiced
PR-2026-0122,2026-05-02,Administration,Administrative Coordinator,Office/Admin,Finance review filing supplies,Lighthouse Procurement Services,289.28,,FALSE,Department Manager,Pending Manager Approval,,,,,3,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0123,2026-05-03,Logistics,Procurement Assistant,Repair Service,Crane control panel repair,NorthPier Dockworks,34307.19,LOG-DCK-430,TRUE,Emergency Safety Exception,Approved,2026-05-07,2026-05-09,,,6,Urgent Safety Purchase,Emergency,Not Ordered,Not Invoiced
PR-2026-0124,2026-05-04,Vessel Operations,Operations Supervisor,Fuel/Operations Supply,Portable generator fuel cans,NorthPier Dockworks,375.33,VO-SAFE-130,TRUE,Department Manager,Received,2026-05-06,,2026-05-11,2026-05-17,13,No Exception,Low,Received,Payment Pending
PR-2026-0125,2026-05-05,Safety,Safety Coordinator,Vendor Service,Quote validation support service,Dockspan Equipment Services,2604.93,MAINT-ERR-999,FALSE,Department Manager + Finance,Submitted,,,,,1,Missing Budget Code,High,Not Ordered,On Hold
PR-2026-0126,2026-05-06,Vessel Operations,Procurement Assistant,Repair Service,Bilge alarm troubleshooting service,Quaymark Repair Services,12528.36,VO-OPS-100,TRUE,Emergency Safety Exception,Approved,2026-05-07,2026-05-09,,,3,Urgent Safety Purchase,Emergency,Not Ordered,Not Invoiced
PR-2026-0127,2026-05-07,Safety,Safety Coordinator,Repair Service,Hydraulic lift inspection service,Quaymark Repair Services,30240.91,SAFE-RESP-330,TRUE,Emergency Safety Exception,Approved,2026-05-09,2026-05-11,,,4,Urgent Safety Purchase,Emergency,Not Ordered,Not Invoiced
PR-2026-0128,2026-05-08,Safety,Procurement Assistant,Office/Admin,Operations office stationery order,Lighthouse Procurement Services,12550.14,,FALSE,Department Manager + Finance + Executive Sponsor,Pending Finance Review,2026-05-10,,,,2,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0129,2026-05-09,Safety,Safety Coordinator,Office/Admin,Meeting room speaker replacement,Lighthouse Procurement Services,19295.68,SAFE-RESP-330,TRUE,Department Manager + Finance + Executive Sponsor,Partially Received,2026-05-13,2026-05-17,2026-05-22,,13,No Exception,Medium,Partially Received,Invoice Received
PR-2026-0130,2026-05-10,Logistics,Operations Supervisor,Parts,Saltwater pump impeller set,FogBank Industrial Supply,623.86,LOG-DCK-430,TRUE,Department Manager,PO Created,2026-05-14,,2026-05-17,,7,No Exception,Low,Ordered,Not Invoiced
PR-2026-0131,2026-05-11,Administration,Procurement Assistant,Vendor Service,Temporary labour support for receiving,Lighthouse Procurement Services,6235.86,ADMIN-OFF-500,TRUE,Department Manager + Finance,Rejected,,,,,6,Invalid Vendor,High,Cancelled,On Hold
PR-2026-0132,2026-05-12,Vessel Operations,Procurement Assistant,Safety Equipment,Dockside safety harnesses,Northline Shield Gear,5131.85,VO-SAFE-130,TRUE,Department Manager + Finance,Pending Manager Approval,,,,,6,No Exception,Medium,Not Ordered,Not Invoiced
PR-2026-0133,2026-05-13,Safety,Procurement Assistant,Vendor Service,Vendor setup review support,Lighthouse Procurement Services,828.07,SAFE-RESP-330,TRUE,Department Manager,Pending Procurement Review,2026-05-15,,,,2,Missing Quote,High,Not Ordered,On Hold
PR-2026-0134,2026-05-14,Logistics,Procurement Assistant,Vendor Service,Pilot workflow training support,Dockspan Equipment Services,895.33,LOG-FUEL-410,TRUE,Department Manager,Received,2026-05-15,,2026-05-16,2026-05-27,13,No Exception,Low,Received,Payment Pending
PR-2026-0135,2026-05-15,Maintenance,Operations Supervisor,Repair Service,Ramp surface repair service,NorthPier Dockworks,898.98,MAINT-PART-220,TRUE,Emergency Safety Exception,PO Created,2026-05-19,2026-05-20,2026-05-23,,8,Urgent Safety Purchase,Emergency,Ordered,Not Invoiced
PR-2026-0136,2026-05-16,IT,Procurement Assistant,Office/Admin,Meeting room speaker replacement,AdminCove Business Services,9549.46,OLD-BUD-999,FALSE,Department Manager + Finance,Pending Manager Approval,,,,,6,Missing Budget Code,Low,Not Ordered,On Hold
PR-2026-0137,2026-05-17,Vessel Operations,Operations Supervisor,Parts,Dock ramp hinge hardware,Bayspan Hydraulics,849.30,VO-OPS-100,TRUE,Department Manager,Partially Received,2026-05-21,,2026-05-22,,5,Delayed Vendor Response,Medium,Delayed,On Hold
PR-2026-0138,2026-05-18,Vessel Operations,Operations Supervisor,Parts,Dock ramp hinge hardware,Bayspan Hydraulics,7692.60,VO-SAFE-130,TRUE,Department Manager + Finance,PO Created,2026-05-19,2026-05-21,2026-05-25,,7,No Exception,Low,Ordered,Invoice Received
PR-2026-0139,2026-05-19,IT,IT Support Analyst,Office/Admin,Whiteboard supplies for rollout room,Avalon Quay Office Supply,198.46,IT-EQ-610,TRUE,Department Manager,Received,2026-05-22,,2026-05-25,2026-06-05,17,No Exception,Low,Received,Invoice Received
PR-2026-0140,2026-05-20,Administration,Administrative Coordinator,Office/Admin,Finance review filing supplies,Lighthouse Procurement Services,1734.74,ADMIN-SVC-520,TRUE,Department Manager + Finance,Pending Procurement Review,2026-05-24,2026-05-27,,,7,Invalid Vendor,Medium,Not Ordered,On Hold
PR-2026-0141,2026-05-21,IT,IT Support Analyst,Vendor Service,Quote validation support service,Dockspan Equipment Services,595.63,IT-EQ-610,TRUE,Department Manager,Closed,2026-05-23,,2026-05-24,2026-06-07,17,No Exception,Low,Received,Payment Pending
PR-2026-0142,2026-05-22,Administration,Procurement Assistant,Vendor Service,Vendor setup review support,Cabotline Maintenance,10235.48,ADMIN-SVC-520,TRUE,Department Manager + Finance + Executive Sponsor,Approved,2026-05-26,2026-05-27,,,5,No Exception,High,Not Ordered,Not Invoiced
PR-2026-0143,2026-05-23,Maintenance,Maintenance Lead,Fuel/Operations Supply,Deck washdown supply kit,EastCove Fuel Services,3160.95,OLD-BUD-999,FALSE,Department Manager + Finance,Submitted,,,,,1,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0144,2026-05-24,Safety,Safety Coordinator,Safety Equipment,Dockside safety harnesses,Northline Shield Gear,643.95,SAFE-RESP-330,TRUE,Emergency Safety Exception,PO Created,2026-05-28,2026-06-01,2026-06-03,,10,Urgent Safety Purchase,Emergency,Ordered,Invoice Received
PR-2026-0145,2026-05-25,Maintenance,Maintenance Lead,Parts,Saltwater pump impeller set,Bayspan Hydraulics,746.58,TEMP-000,FALSE,Department Manager,Pending Finance Review,2026-05-26,,,,1,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0146,2026-05-26,Administration,Procurement Assistant,Vendor Service,Specialized lifting equipment rental,Dockspan Equipment Services,304.14,ADMIN-OFF-500,TRUE,Department Manager,On Hold,2026-05-30,,,,4,Delayed Vendor Response,Medium,Delayed,On Hold
PR-2026-0147,2026-05-27,Vessel Operations,Operations Supervisor,Safety Equipment,Cold weather grip cleats,FogBank Industrial Supply,3304.61,VO-OPS-100,TRUE,Department Manager + Finance,PO Created,2026-05-28,2026-05-31,2026-06-04,,8,Delayed Vendor Response,High,Delayed,Not Invoiced
PR-2026-0148,2026-05-28,Maintenance,Maintenance Lead,Repair Service,Preventive maintenance for dockside compressor,Lighthouse Procurement Services,530.97,MAINT-REP-210,TRUE,Department Manager,Rejected,,,,,1,Invalid Vendor,Medium,Cancelled,On Hold
PR-2026-0149,2026-05-29,Safety,Safety Coordinator,Office/Admin,Document scanner replacement,AdminCove Business Services,529.50,,FALSE,Department Manager,Pending Finance Review,2026-05-31,,,,2,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0150,2026-05-30,IT,IT Support Analyst,Office/Admin,Printer toner and paper restock,Lighthouse Procurement Services,143.89,OLD-BUD-999,FALSE,Department Manager,Pending Manager Approval,,,,,7,Missing Budget Code,Low,Not Ordered,On Hold
PR-2026-0151,2026-05-31,Vessel Operations,Vessel Operations Coordinator,Parts,Winch control switch assembly,FogBank Industrial Supply,3374.83,VO-OPS-100,TRUE,Department Manager + Finance,Pending Manager Approval,,,,,5,No Exception,Medium,Not Ordered,Not Invoiced
PR-2026-0152,2026-06-01,Logistics,Procurement Assistant,Repair Service,Crane control panel repair,Lighthouse Procurement Services,750.75,LOG-FRT-420,TRUE,Department Manager,Rejected,,,,,4,Invalid Vendor,Medium,Cancelled,On Hold
PR-2026-0153,2026-06-02,Maintenance,Procurement Assistant,Safety Equipment,Emergency spill response supplies,FogBank Industrial Supply,891.66,MAINT-PART-220,TRUE,Department Manager,Pending Manager Approval,,,,,6,No Exception,Low,Not Ordered,Not Invoiced
PR-2026-0154,2026-06-03,Logistics,Logistics Coordinator,Parts,Winch control switch assembly,FogBank Industrial Supply,2476.75,,FALSE,Department Manager + Finance,Pending Manager Approval,,,,,8,Missing Budget Code,Low,Not Ordered,On Hold
PR-2026-0155,2026-06-04,Logistics,Operations Supervisor,Fuel/Operations Supply,Engine coolant drum,FogBank Industrial Supply,1514.72,VO-MISC-999,FALSE,Department Manager + Finance,Draft,,,,,,Missing Budget Code,High,Not Ordered,On Hold
PR-2026-0156,2026-06-05,Administration,Administrative Coordinator,Vendor Service,Quote validation support service,Lighthouse Procurement Services,1420.60,VO-MISC-999,FALSE,Department Manager + Finance,Submitted,,,,,1,Missing Budget Code,High,Not Ordered,On Hold
PR-2026-0157,2026-06-06,Logistics,Operations Supervisor,Repair Service,Emergency repair for vessel generator,Dockspan Equipment Services,4010.15,LOG-FRT-420,TRUE,Department Manager + Finance,On Hold,2026-06-08,,,,2,Delayed Vendor Response,Medium,Delayed,On Hold
PR-2026-0158,2026-06-07,Maintenance,Operations Supervisor,Parts,Fuel line fitting kit,BlueKeel Marine Parts,13029.74,MAINT-SVC-230,TRUE,Department Manager + Finance + Executive Sponsor,Approved,2026-06-10,2026-06-11,,,4,Amount Over Threshold,Medium,Not Ordered,Not Invoiced
PR-2026-0159,2026-06-08,Vessel Operations,Operations Supervisor,Safety Equipment,Winter PPE restock,Northline Shield Gear,7119.06,VO-OPS-100,TRUE,Department Manager + Finance,PO Created,2026-06-11,2026-06-15,2026-06-18,,10,Delayed Vendor Response,High,Delayed,Not Invoiced
PR-2026-0160,2026-06-09,Maintenance,Operations Supervisor,Fuel/Operations Supply,Fuel transfer pump service,FogBank Industrial Supply,4503.48,MAINT-PART-220,TRUE,Department Manager + Finance,Submitted,,,,,1,No Exception,Low,Not Ordered,Not Invoiced
PR-2026-0161,2026-06-10,Vessel Operations,Procurement Assistant,Parts,Marine battery isolation parts,FogBank Industrial Supply,7086.17,,FALSE,Department Manager + Finance,Draft,,,,,,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0162,2026-06-11,Safety,Safety Coordinator,Vendor Service,Specialized lifting equipment rental,NorthPier Dockworks,3715.66,SAFE-EQ-320,TRUE,Department Manager + Finance,Pending Procurement Review,2026-06-14,2026-06-15,,,4,Missing Quote,High,Not Ordered,On Hold
PR-2026-0163,2026-06-12,Vessel Operations,Procurement Assistant,Fuel/Operations Supply,Temporary heating fuel supply,NorthPier Dockworks,6471.85,,FALSE,Department Manager + Finance,Draft,,,,,,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0164,2026-06-13,Maintenance,Operations Supervisor,Safety Equipment,Fire extinguisher inspection tags,FogBank Industrial Supply,1071.29,MAINT-SVC-230,TRUE,Department Manager + Finance,Pending Finance Review,2026-06-15,,,,2,No Exception,Low,Not Ordered,Not Invoiced
PR-2026-0165,2026-06-14,Safety,Operations Supervisor,Safety Equipment,Dockside safety harnesses,Tidewatch Safety Systems,1617.28,SAFE-RESP-330,TRUE,Department Manager + Finance,Pending Manager Approval,,,,,8,No Exception,Low,Not Ordered,Not Invoiced
PR-2026-0166,2026-06-15,Vessel Operations,Vessel Operations Coordinator,Parts,Engine room gasket set,RedMoor Operations Supply,11298.27,VO-MAINT-120,TRUE,Department Manager + Finance + Executive Sponsor,PO Created,2026-06-19,2026-06-20,2026-06-24,,9,No Exception,Medium,Ordered,Invoice Received
PR-2026-0167,2026-06-17,Logistics,Logistics Coordinator,Vendor Service,Annual inspection vendor service,Lighthouse Procurement Services,2657.73,LOG-FUEL-410,TRUE,Department Manager + Finance,Draft,,,,,,No Exception,Medium,Not Ordered,Not Invoiced
PR-2026-0168,2026-06-18,Maintenance,Procurement Assistant,Vendor Service,Quote validation support service,Quaymark Repair Services,644.74,,FALSE,Department Manager,Pending Finance Review,2026-06-22,,,,4,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0169,2026-06-19,Maintenance,Procurement Assistant,Parts,Dock ramp hinge hardware,BlueKeel Marine Parts,594.81,MAINT-REP-210,TRUE,Department Manager,Partially Received,2026-06-20,,2026-06-25,,6,Delayed Vendor Response,Medium,Delayed,On Hold
PR-2026-0170,2026-06-20,Maintenance,Operations Supervisor,Parts,Deck crane seal pack,RedMoor Operations Supply,22026.36,MAINT-REP-210,TRUE,Department Manager + Finance + Executive Sponsor,Pending Manager Approval,,,,,8,No Exception,Low,Not Ordered,Not Invoiced
PR-2026-0171,2026-06-21,Safety,Procurement Assistant,Vendor Service,Quote validation support service,Dockspan Equipment Services,564.57,SAFE-EQ-320,TRUE,Department Manager,Draft,,,,,,No Exception,Low,Not Ordered,Not Invoiced
PR-2026-0172,2026-06-22,Maintenance,Procurement Assistant,Repair Service,Bilge alarm troubleshooting service,Cabotline Maintenance,256.61,,FALSE,Department Manager,Submitted,,,,,1,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0173,2026-06-23,IT,IT Support Analyst,IT Equipment,Wireless access point for maintenance shop,SignalCove Electronics,4622.08,IT-SUP-620,TRUE,Department Manager + Finance,PO Created,2026-06-27,2026-07-01,2026-07-05,,12,No Exception,Medium,Ordered,Not Invoiced
PR-2026-0174,2026-06-24,Logistics,Operations Supervisor,Fuel/Operations Supply,Operations lubricant restock,RedMoor Operations Supply,6424.71,LOG-FRT-420,TRUE,Department Manager + Finance,Pending Manager Approval,,,,,8,No Exception,Medium,Not Ordered,Not Invoiced
PR-2026-0175,2026-06-25,Maintenance,Maintenance Lead,Parts,Hydraulic hose replacement kit,FogBank Industrial Supply,7844.79,,FALSE,Department Manager + Finance,Submitted,,,,,1,Missing Budget Code,Medium,Not Ordered,On Hold
PR-2026-0176,2026-06-26,IT,IT Support Analyst,IT Equipment,Two factor token batch for pilot users,Lighthouse Procurement Services,4096.27,IT-EQ-610,TRUE,Department Manager + Finance,Submitted,,,,,1,No Exception,Medium,Not Ordered,Not Invoiced
PR-2026-0177,2026-06-27,Vessel Operations,Procurement Assistant,Safety Equipment,Confined space gas monitor calibration,Northline Shield Gear,663.86,VO-OPS-100,TRUE,Department Manager,Submitted,,,,,1,No Exception,High,Not Ordered,Not Invoiced
PR-2026-0178,2026-06-28,Vessel Operations,Procurement Assistant,Safety Equipment,Dockside safety harnesses,FogBank Industrial Supply,4585.76,VO-MAINT-120,TRUE,Emergency Safety Exception,Approved,2026-07-02,2026-07-04,,,6,Urgent Safety Purchase,Emergency,Not Ordered,Not Invoiced
PR-2026-0179,2026-06-29,Administration,Procurement Assistant,Office/Admin,Whiteboard supplies for rollout room,AdminCove Business Services,443.59,ADMIN-OFF-500,TRUE,Department Manager,Approved,2026-07-02,,,,3,No Exception,Low,Not Ordered,Not Invoiced
PR-2026-0180,2026-06-30,Logistics,Procurement Assistant,Repair Service,Fuel transfer pump service,Quaymark Repair Services,15708.92,,FALSE,Department Manager + Finance + Executive Sponsor,Pending Manager Approval,,,,,4,Missing Budget Code,Medium,Not Ordered,On Hold
